"","trials","target","mean_acc","mean_dist","network","type"
"339",140000,3,0.0204081632653061,3.6530612244898,"convolutional","train"
"340",140000,4,0.205128205128205,3.11538461538462,"convolutional","train"
"341",140000,5,0,2.97,"convolutional","train"
"342",140000,6,0.0545454545454545,2.52727272727273,"convolutional","train"
"343",140000,7,0.19375,1.69375,"convolutional","train"
"344",140000,8,0.355769230769231,1.46634615384615,"convolutional","train"
"345",140000,9,0.323232323232323,1.23737373737374,"convolutional","train"
"346",140000,10,0.166666666666667,1.46929824561404,"convolutional","train"
"347",140000,11,0.418410041841004,1.18410041841004,"convolutional","train"
"348",140000,12,0.343220338983051,1.31779661016949,"convolutional","train"
"349",140000,13,0.21195652173913,1.65760869565217,"convolutional","train"
"350",140000,14,0.0437956204379562,2.57664233576642,"convolutional","train"
"351",140000,15,0.0952380952380952,3.12698412698413,"convolutional","train"
"352",140000,16,0,4.19767441860465,"convolutional","train"
"353",140000,17,0.0161290322580645,4.83870967741935,"convolutional","train"
"354",140000,18,0,5.71428571428571,"convolutional","train"
"355",140000,19,0,6.69230769230769,"convolutional","train"
"356",140000,20,0,7.75,"convolutional","train"
"357",140000,21,0,8,"convolutional","train"
"358",140000,22,0,9.33333333333333,"convolutional","train"
"359",140000,23,0,10.6666666666667,"convolutional","train"
"360",140000,24,0,12,"convolutional","train"
"361",150000,1,0,3.8,"convolutional","train"
"362",150000,2,0,4.07692307692308,"convolutional","train"
"363",150000,3,0.142857142857143,3.06122448979592,"convolutional","train"
"364",150000,4,0.192307692307692,3.19230769230769,"convolutional","train"
"365",150000,5,0.03,3.07,"convolutional","train"
"366",150000,6,0.0272727272727273,2.54545454545455,"convolutional","train"
"367",150000,7,0.1625,2.05625,"convolutional","train"
"368",150000,8,0.379807692307692,1.56730769230769,"convolutional","train"
"369",150000,9,0.267676767676768,1.36363636363636,"convolutional","train"
"370",150000,10,0.232456140350877,1.37280701754386,"convolutional","train"
"371",150000,11,0.326359832635983,1.24686192468619,"convolutional","train"
"372",150000,12,0.470338983050847,1,"convolutional","train"
"373",150000,13,0.201086956521739,1.52173913043478,"convolutional","train"
"374",150000,14,0.0437956204379562,2.51824817518248,"convolutional","train"
"375",150000,15,0.0714285714285714,3.03968253968254,"convolutional","train"
"376",150000,16,0,3.96511627906977,"convolutional","train"
"377",150000,17,0,4.80645161290323,"convolutional","train"
"378",150000,18,0,5.69047619047619,"convolutional","train"
"379",150000,19,0,6.73076923076923,"convolutional","train"
"380",150000,20,0,7.83333333333333,"convolutional","train"
"381",150000,21,0,8.44444444444444,"convolutional","train"
"382",150000,22,0,8.83333333333333,"convolutional","train"
"383",150000,23,0,10.3333333333333,"convolutional","train"
"384",150000,24,0,11,"convolutional","train"
"385",160000,1,0,3,"convolutional","train"
"386",160000,2,0,3.84615384615385,"convolutional","train"
"387",160000,3,0.204081632653061,2.69387755102041,"convolutional","train"
"388",160000,4,0.256410256410256,2.78205128205128,"convolutional","train"
"389",160000,5,0,2.92,"convolutional","train"
"390",160000,6,0.0454545454545455,2.62727272727273,"convolutional","train"
"391",160000,7,0.25,1.65625,"convolutional","train"
"392",160000,8,0.264423076923077,1.51923076923077,"convolutional","train"
"393",160000,9,0.292929292929293,1.2020202020202,"convolutional","train"
"394",160000,10,0.37719298245614,1.13157894736842,"convolutional","train"
"395",160000,11,0.280334728033473,1.16317991631799,"convolutional","train"
"396",160000,12,0.415254237288136,1.15254237288136,"convolutional","train"
"397",160000,13,0.228260869565217,1.6304347826087,"convolutional","train"
"398",160000,14,0.0437956204379562,2.72992700729927,"convolutional","train"
"399",160000,15,0.103174603174603,3.03174603174603,"convolutional","train"
"400",160000,16,0,4.12790697674419,"convolutional","train"
"401",160000,17,0,4.74193548387097,"convolutional","train"
"402",160000,18,0,5.95238095238095,"convolutional","train"
"403",160000,19,0,6.84615384615385,"convolutional","train"
"404",160000,20,0,7.5,"convolutional","train"
"405",160000,21,0,8.33333333333333,"convolutional","train"
"406",160000,22,0,8.83333333333333,"convolutional","train"
"407",160000,23,0,10.3333333333333,"convolutional","train"
"408",160000,24,0,11,"convolutional","train"
"409",170000,1,0,2.8,"convolutional","train"
"410",170000,2,0,3.92307692307692,"convolutional","train"
"411",170000,3,0.224489795918367,2.48979591836735,"convolutional","train"
"412",170000,4,0.256410256410256,2.83333333333333,"convolutional","train"
"413",170000,5,0,3.06,"convolutional","train"
"414",170000,6,0.00909090909090909,2.73636363636364,"convolutional","train"
"415",170000,7,0.2125,1.75625,"convolutional","train"
"416",170000,8,0.245192307692308,1.47596153846154,"convolutional","train"
"417",170000,9,0.45959595959596,0.95959595959596,"convolutional","train"
"418",170000,10,0.280701754385965,1.20614035087719,"convolutional","train"
"419",170000,11,0.401673640167364,1.06276150627615,"convolutional","train"
"420",170000,12,0.394067796610169,1.23305084745763,"convolutional","train"
"421",170000,13,0.146739130434783,1.78260869565217,"convolutional","train"
"422",170000,14,0.0510948905109489,2.64233576642336,"convolutional","train"
"423",170000,15,0.174603174603175,2.84126984126984,"convolutional","train"
"424",170000,16,0,3.87209302325581,"convolutional","train"
"425",170000,17,0.0161290322580645,4.74193548387097,"convolutional","train"
"426",170000,18,0,5.66666666666667,"convolutional","train"
"427",170000,19,0,6.57692307692308,"convolutional","train"
"428",170000,20,0,7.5,"convolutional","train"
"429",170000,21,0,7.22222222222222,"convolutional","train"
"430",170000,22,0,8.83333333333333,"convolutional","train"
"431",170000,23,0,10.3333333333333,"convolutional","train"
"432",170000,24,0,11.2,"convolutional","train"
"433",180000,1,0,3.4,"convolutional","train"
"434",180000,2,0,3.46153846153846,"convolutional","train"
"435",180000,3,0.142857142857143,2.40816326530612,"convolutional","train"
"436",180000,4,0.243589743589744,2.44871794871795,"convolutional","train"
"437",180000,5,0,2.65,"convolutional","train"
"438",180000,6,0.190909090909091,2.07272727272727,"convolutional","train"
"439",180000,7,0.225,1.56875,"convolutional","train"
"440",180000,8,0.317307692307692,1.59615384615385,"convolutional","train"
"441",180000,9,0.257575757575758,1.43434343434343,"convolutional","train"
"442",180000,10,0.307017543859649,1.3859649122807,"convolutional","train"
"443",180000,11,0.439330543933054,1.14225941422594,"convolutional","train"
"444",180000,12,0.271186440677966,1.30932203389831,"convolutional","train"
"445",180000,13,0.391304347826087,1.2445652173913,"convolutional","train"
"446",180000,14,0.0656934306569343,2.27007299270073,"convolutional","train"
"447",180000,15,0.214285714285714,2.5,"convolutional","train"
"448",180000,16,0.0116279069767442,3.67441860465116,"convolutional","train"
"449",180000,17,0,4.2741935483871,"convolutional","train"
"450",180000,18,0,4.97619047619048,"convolutional","train"
"451",180000,19,0,5.88461538461539,"convolutional","train"
"452",180000,20,0,7.25,"convolutional","train"
"453",180000,21,0,7.66666666666667,"convolutional","train"
"454",180000,22,0,8.33333333333333,"convolutional","train"
"455",180000,23,0,10.6666666666667,"convolutional","train"
"456",180000,24,0,11,"convolutional","train"
"457",190000,1,0,3,"convolutional","train"
"458",190000,2,0,3.42307692307692,"convolutional","train"
"459",190000,3,0.244897959183673,2.46938775510204,"convolutional","train"
"460",190000,4,0.192307692307692,2.64102564102564,"convolutional","train"
"461",190000,5,0.04,2.63,"convolutional","train"
"462",190000,6,0.0818181818181818,2.13636363636364,"convolutional","train"
"463",190000,7,0.31875,1.45,"convolutional","train"
"464",190000,8,0.365384615384615,1.55769230769231,"convolutional","train"
"465",190000,9,0.323232323232323,1.34343434343434,"convolutional","train"
"466",190000,10,0.18859649122807,1.55701754385965,"convolutional","train"
"467",190000,11,0.393305439330544,1.10041841004184,"convolutional","train"
"468",190000,12,0.453389830508475,1.04237288135593,"convolutional","train"
"469",190000,13,0.298913043478261,1.31521739130435,"convolutional","train"
"470",190000,14,0.0583941605839416,2.21167883211679,"convolutional","train"
"471",190000,15,0.214285714285714,2.45238095238095,"convolutional","train"
"472",190000,16,0,3.69767441860465,"convolutional","train"
"473",190000,17,0,4.59677419354839,"convolutional","train"
"474",190000,18,0,5.30952380952381,"convolutional","train"
"475",190000,19,0,6.42307692307692,"convolutional","train"
"476",190000,20,0,7.41666666666667,"convolutional","train"
"477",190000,21,0,7.66666666666667,"convolutional","train"
"478",190000,22,0,8.83333333333333,"convolutional","train"
"479",190000,23,0,10.3333333333333,"convolutional","train"
"480",190000,24,0,11,"convolutional","train"
"481",200000,1,0,3.2,"convolutional","train"
"482",200000,2,0,3,"convolutional","train"
"483",200000,3,0.285714285714286,2.30612244897959,"convolutional","train"
"484",200000,4,0.294871794871795,2.25641025641026,"convolutional","train"
"485",200000,5,0.02,2.51,"convolutional","train"
"486",200000,6,0.0727272727272727,1.91818181818182,"convolutional","train"
"487",200000,7,0.45625,1.13125,"convolutional","train"
